street_address,price,beds,baths,sqft,price/sqft,prop type,county,community,built,parking,air conditioning,kitchen,dishwasher,laundry,heating,elevator
196 Southbridge St Lot 11,99990,—,—,—,Sq. Ft.,Residential,Worcester,Dudley,,,,,,,,
26 Nash St,485000,4,2.5,"2,596",$187 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1985,,,True,,,,
9 Olde Coach Rd,725000,4,3.5,"3,976",$182 / Sq. Ft.,Single Family Detached,Worcester,Olde Coach Estates,1973,,,True,,,,
5 Folly Ln,450000,4,2,"1,846",$244 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1950,,,True,,True,,
26 Chestnut St,660000,5,3.5,"3,445",$192 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1964,True,,True,,,,
9 Appleseed Dr,800000,4,2.5,"3,269",$245 / Sq. Ft.,Single Family Detached,Worcester,The Ridings,1996,,,True,,,,
500 Union St #5207,415000,2,2,"1,455",$285 / Sq. Ft.,Condominium,Worcester,Westborough,2007,,,True,,,True,
4 Reed Ave,800000,5,3.5,"4,148",$193 / Sq. Ft.,Single Family Detached,Worcester,Westborough Chase,1997,,,True,,,,
17 Deerslayer Ln,583000,4,2.5,"2,678",$218 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1980,,,True,,,,
47 Upton Rd,495000,4,2.5,"2,974",$166 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1986,,,True,,,,
11 Beach St,400000,4,1.5,"1,573",$254 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1897,,,True,,,,
2 Old Stonebridge Path,625000,4,3,"2,900",$216 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1982,,,True,,,True,
68 Bowman St,419000,4,2.5,"2,692",$156 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1971,,,,,,True,
23 Thomas Newton Dr,742000,4,2.5,"3,773",$197 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1992,,,True,,,,
12 Lawtons Way,380000,3,2,"1,288",$295 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1992,,,,,,,
6 Harvest Way,799900,5,3,"4,181",$191 / Sq. Ft.,Single Family Detached,Worcester,THE RIDINGS,1996,,,True,,,,
59 Lackey St,587400,4,2.5,"2,751",$214 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1981,,,True,,True,True,
136 E Main St,559900,4,3,"3,003",$186 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1903,True,,True,,True,,
13R West St #2,214900,2,2,"1,137",$189 / Sq. Ft.,Condominium,Worcester,Westborough,1990,,,True,,,,
4 Stagecoach Cir #4,480000,3,2.5,"1,760",$273 / Sq. Ft.,Condominium,Worcester,Westborough,2015,,True,True,True,True,,
198 Ruggles St,849900,4,4,"4,678",$182 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1996,,,True,,True,True,
1 McIntosh Ct #1,539900,2,2.5,"2,373",$228 / Sq. Ft.,Condominium,Worcester,Westborough,2010,,,True,,,,
31 Cook St,825000,4,2.5,"3,327",$248 / Sq. Ft.,Single Family Detached,Worcester,Westborough Chase,1996,,,True,,,,
131A & 0 Ruggles St,1600000,6,4.5,"7,500",$213 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1987,,,True,,,,
87 W Main,699000,6,4.5,"3,070",$228 / Sq. Ft.,Single Family Detached,Worcester,Downtown,1893,True,,True,,True,,
2 Captain Samuel Forbush Rd,735000,4,3,"3,135",$234 / Sq. Ft.,Single Family Detached,Worcester,McTaggart Estates,1989,,,True,,,,
11 Olde Hickory Path,1499000,5,5.5,"5,080",$295 / Sq. Ft.,Single Family Detached,Worcester,Woodland Preserve,2000,,,True,,,,
50 Flanders Rd,500000,2,1,"1,786",$280 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1706,,,,,,,
8 Upton Rd,589000,4,2.5,"2,770",$213 / Sq. Ft.,Single Family Detached,Worcester,Westborough,2003,,,,,,True,
33 Lackey St,595000,4,2.5,"2,964",$201 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1986,,,True,,,,
2107 Simeon Howard Way #2107,375000,2,2,"1,290",$291 / Sq. Ft.,Condominium,Worcester,Westborough,2014,True,,,,,,
5 Stagecoach Cir #5,499900,3,2.5,"1,760",$284 / Sq. Ft.,Condominium,Worcester,Westborough,2015,,True,True,True,True,,
7 Stagecoach Cir #7,547900,3,2.5,"2,150",$255 / Sq. Ft.,Condominium,Worcester,Westborough,2015,,True,True,True,True,,
Bldg. 2 Deacon Shattuck Way #215,393900,2,2,"1,290",$305 / Sq. Ft.,Condominium,Worcester,Westborough,2015,True,,,,,,
11 Arrowhead Ln,1095000,4,5.5,"5,563",$197 / Sq. Ft.,Single Family Detached,Worcester,Walnut Knoll,2000,,,True,,,,
0 Turnpike Rd,75000,—,—,—,Sq. Ft.,Commercial,Worcester,Westborough,,,,,,,,
31-33 Eli Whitney St,4500000,—,—,—,Sq. Ft.,Residential,Worcester,Westborough,,,,,,,,
62 Water St,375000,3,1,"1,258",$298 / Sq. Ft.,Single Family Detached,Worcester,Westborough,1897,,,True,,True,,
3 Corning Fairbanks Way #0146,719995,2,3.5,"3,074",$234 / Sq. Ft.,Condominium,Worcester,Westborough,2013,,,True,,True,,
12 Eli Whitney St,1150000,5,4.5,"4,100",$280 / Sq. Ft.,Single Family Detached,Worcester,Westborough,2016,,,True,,,,
Lot 2 BEETON Path,999900,5,3.5,"3,700",$270 / Sq. Ft.,Single Family Detached,Worcester,"""The Homes at Westborough Pointe""",2017,,,,,,,
Lot 0 Mount Pleasant St,875000,4,2.5,"3,000",$292 / Sq. Ft.,Single Family Detached,Worcester,Westborough,2017,,,,,,,
3 Jacob Amsden Rd,859900,5,4,"4,696",$183 / Sq. Ft.,Single Family Detached,Worcester,UhlMAn Farms,1992,,,True,,,,
16 Arrowhead Ln,999000,7,5,"5,503",$182 / Sq. Ft.,Single Family Detached,Worcester,Walnut Knoll Estates,2002,,,True,,,,True
0 Ruggles St (Breen Road),1150000,—,—,—,Sq. Ft.,Residential,Worcester,Westborough,,,,,,,,
4 Copperbeech Cir,1449000,5,6,"5,917",$245 / Sq. Ft.,Single Family Detached,Worcester,Whispering Pines,2006,,,True,,,,
182 Goodale St,270000,4,2,"1,512",$179 / Sq. Ft.,Single Family Detached,Worcester,West Boylston,1950,,,,,,,
87 Bunker Hill Pkwy,299900,3,1,"1,431",$210 / Sq. Ft.,Single Family Detached,Worcester,West Boylston,1956,,,True,,,,
12 Cavour Cir,285000,3,2,"1,300",$219 / Sq. Ft.,Single Family Detached,Worcester,West Boylston,1950,,,True,,True,,
31 Almanac Way,524900,4,3,"2,924",$180 / Sq. Ft.,Single Family Detached,Worcester,West Boylston,1990,,,True,,,,
34 Crescent St,319900,3,1.5,"1,530",$209 / Sq. Ft.,Single Family Detached,Worcester,West Boylston,1940,,,True,,,,
65 Hillside Village Dr #65,310000,2,2.5,"2,128",$146 / Sq. Ft.,Condominium,Worcester,West Boylston,2003,,,,,,,
136 STERLING St Unit B2,229000,3,2.5,"1,636",$140 / Sq. Ft.,Condominium,Worcester,West Boylston,1987,,,True,,True,,
63 Hillside village Dr #63,325000,2,2.5,"2,128",$153 / Sq. Ft.,Condominium,Worcester,West Boylston,2003,,,True,,,,
103 Gore Rd,169900,3,1,"1,392",$122 / Sq. Ft.,Single Family Detached,Worcester,Webster,1940,,,True,,,,
16 Eddy St,199900,3,1,"1,116",$179 / Sq. Ft.,Single Family Detached,Worcester,Webster,1959,,,True,,,,
45 Granite St,65000,4,2,"1,740",$37 / Sq. Ft.,2 Family,Worcester,Webster,1840,,,,,,,
30 S Point Rd,375000,3,1.5,"1,142",$328 / Sq. Ft.,Single Family Detached,Worcester,Webster,1930,,,True,,,,
55 Colonial Rd,699900,4,2.5,"2,580",$271 / Sq. Ft.,Single Family Detached,Worcester,Colonial Park,1960,True,,True,,,,
16 Slater St,289000,6,3,"2,093",$138 / Sq. Ft.,2 Family,Worcester,Webster,1880,,,,,,True,
28 Black Point Rd,62000,—,—,—,Sq. Ft.,Residential,Worcester,Webster,,,,,,,,
31 Whitcomb St,189900,4,2,"2,112",$90 / Sq. Ft.,2 Family,Worcester,Webster,1900,,,,,,,
73 Klebart Ave,299900,3,2.5,"2,052",$146 / Sq. Ft.,Single Family Detached,Worcester,Webster,1986,,,True,,,True,
25 3Rd St Unit E,192500,3,2.5,"1,492",$129 / Sq. Ft.,Condominium,Worcester,Webster,2007,True,,True,,True,,
0 Pontiac Ave L:B,49900,—,—,—,Sq. Ft.,Residential,Worcester,Webster,,,,,,,,
14 Pebble Beach Rd,749900,4,2,"3,000",$250 / Sq. Ft.,Single Family Detached,Worcester,Webster,1955,,,,,True,,
25 Goddard St,199900,9,3,"3,198",$63 / Sq. Ft.,3 Family,Worcester,Webster,1890,,,,,,,
547 School St,185000,8,2,"3,180",$58 / Sq. Ft.,2 Family,Worcester,Webster,1920,,,,,,,
19 Granite St,159900,6,3,"2,040",$78 / Sq. Ft.,2 Family,Worcester,Webster,1880,,,,,,,
5 Church Ct,139900,3,1,"1,124",$124 / Sq. Ft.,Single Family Detached,Worcester,Church Court,1870,,,True,,True,,
8 Oakwood Dr,539900,6,4.5,"5,165",$105 / Sq. Ft.,Single Family Detached,Worcester,Webster,1988,,,True,,True,,
116 Upper Gore Rd,599999,5,3.5,"4,500",$133 / Sq. Ft.,Single Family Detached,Worcester,Webster,1997,,,,,,,
30 Mechanic St,39900,—,—,—,Sq. Ft.,Residential,Worcester,Webster,,,,,,,,
25 Black Point Rd,249900,3,2.5,"2,050",$122 / Sq. Ft.,Single Family Detached,Worcester,Webster,2003,,,True,,,,
100 Union Point Rd,649000,5,2.5,"2,322",$280 / Sq. Ft.,Single Family Detached,Worcester,Union Point,1940,True,,True,,,,
28 3Rd St,235900,3,2,"1,013",$233 / Sq. Ft.,Single Family Detached,Worcester,Webster,1979,,,True,,True,,
77-79 Chase Ave,128000,7,6,"5,647",$23 / Sq. Ft.,5-9 Family,Worcester,Webster,1880,,,,,,,
421 High St,134900,3,1.5,"1,617",$83 / Sq. Ft.,Single Family Detached,Worcester,Webster,1940,,,,,,,
39 Park Ave,269900,3,1.5,"1,804",$150 / Sq. Ft.,Single Family Detached,Worcester,Webster,1940,,,True,,,,
1405 Treasure Island Rd #1405,385000,2,2.5,"1,874",$205 / Sq. Ft.,Condominium,Worcester,Webster,1992,,,True,,,,
2 S Point Rd,440000,3,2,"1,710",$257 / Sq. Ft.,Single Family Detached,Worcester,Point Breeze Area,1937,True,,,,,,
30 Scenic Ave,214900,2,2,"1,194",$180 / Sq. Ft.,Single Family Detached,Worcester,Webster,1983,,,,,,,
327 School St,179900,3,1.5,"2,016",$89 / Sq. Ft.,Single Family Detached,Worcester,Webster,1850,,,True,,True,,
16 Bates Xing,1190000,3,3,"3,146",$378 / Sq. Ft.,Single Family Detached,Worcester,Bates Crossing,1986,,,True,,True,True,
16 Harvard St,229000,2,2,"1,700",$135 / Sq. Ft.,Single Family Detached,Worcester,Webster,1984,,,True,,,,
31 Nelson St,79900,2,1,988,$81 / Sq. Ft.,Single Family Detached,Worcester,Webster,1930,,,,,,,
56 Poland St,234900,4,1,"1,686",$139 / Sq. Ft.,Single Family Detached,Worcester,Webster,1955,,,True,,True,,
40 Camile Rd,339900,4,3,"2,186",$155 / Sq. Ft.,Single Family Attached,Worcester,Webster,1998,,,True,,,True,
15 S Point Rd,179900,—,—,—,Sq. Ft.,Residential,Worcester,Webster,,,,,,,,
27R Genevieve Ln,299900,4,2,"1,768",$170 / Sq. Ft.,Single Family Detached,Worcester,Webster,1990,,,True,,,,
21 Wakefield Ave,344000,5,2.5,"2,508",$137 / Sq. Ft.,Single Family Detached,Worcester,Webster,1999,,,True,,,,
1 Camile Rd,279900,4,2.5,"2,305",$121 / Sq. Ft.,Single Family Detached,Worcester,Webster,1994,,,,,,,
66 Whitcomb St,119000,3,2,"1,375",$87 / Sq. Ft.,2 Units Up/Down,Worcester,Webster,1900,,,,,,,
3 Upper Gore Rd,224900,2,1,"1,080",$208 / Sq. Ft.,Single Family Detached,Worcester,Lakeside,1971,,,True,,,,
25 Pleasant St,189900,7,3,"2,456",$77 / Sq. Ft.,3 Family,Worcester,Webster,1880,,,,,,,
16 Black Point Rd,44900,—,—,—,Sq. Ft.,Residential,Worcester,Webster,,,,,,,,
2 Cedar Point / 28 Black Pt,129900,—,—,—,Sq. Ft.,Residential,Worcester,Webster,,,,,,,,
36 Upland Ave,119900,4,2,"1,418",$85 / Sq. Ft.,Single Family Detached,Worcester,Webster,1940,,,True,,,,
86 Upper Gore Rd,379900,3,1.5,"2,402",$158 / Sq. Ft.,Single Family Detached,Worcester,Webster,1925,,,True,,True,,
22 S Point Rd,229000,—,—,—,Sq. Ft.,Residential,Worcester,Webster,,,,,,,,
10 ELM St,79223,3,1,"1,197",$66 / Sq. Ft.,Single Family Detached,Worcester,Webster,1870,,,,,,,
21 Granite St,95000,4,2,"2,040",$47 / Sq. Ft.,2 Family,Worcester,Webster,1880,True,,,,,,
50C Lake Pkwy,37000,—,—,—,Sq. Ft.,Residential,Worcester,Webster,,,,,,,,
0 Colonial Rd,385000,3,2.5,"2,400",$160 / Sq. Ft.,Single Family Detached,Worcester,Webster,2016,,,,,,,
14 Joseph St,219000,4,2.5,"2,530",$87 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1986,,,,,,,
11 Prospect Ave,279900,3,1,"1,428",$196 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1950,,,True,,,True,
36 Fish Rd,299900,3,3,"2,300",$130 / Sq. Ft.,Single Family Detached,Worcester,Dudley,2000,,,,,True,,
6 Eric Way,479900,4,3.5,"3,666",$131 / Sq. Ft.,Single Family Detached,Worcester,Perryville Farm Estate,2000,,,True,,,True,
lot 38 Stebbins Dr,139900,—,—,—,Sq. Ft.,Residential,Worcester,Dudley,,,,,,,,
13 Railroad Ave,199900,3,1,"1,170",$171 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1890,,,,,,,
82 Klondike Rd,550000,3,2.5,"2,208",$249 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1998,,,True,,,,
11 Johnathan Pass,474000,4,3.5,"3,372",$141 / Sq. Ft.,Single Family Detached,Worcester,Perryville Estates,2001,,,,,,,
52 Sawmill Rd,339000,3,2.5,"2,410",$141 / Sq. Ft.,Single Family Detached,Worcester,Dudley,2004,,,True,,True,,
3 Cardinal,299900,3,2,"1,778",$169 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1985,,,True,,,,
7 Joseph St,295000,4,2.5,"1,920",$154 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1985,,,True,,,,
264 W Main St,224900,3,1.5,"1,062",$212 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1965,,,,,,,
30 Dresser Hill Rd,289900,3,3,"2,089",$139 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1957,,,True,,,,
9 Juniper Ln,419000,4,2.5,"2,800",$150 / Sq. Ft.,Single Family Detached,Worcester,Dudley,2017,,,True,,,,
5 Village St,239900,4,1.5,"1,792",$134 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1899,,,True,,,,
Lot 149 Southbridge Rd,69800,—,—,—,Sq. Ft.,Residential,Worcester,Dudley,,,,,,,,
9 Page Ln,116000,3,1.5,"1,555",$75 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1976,,,,,,,
9 Noble St,415000,4,2.5,"2,448",$170 / Sq. Ft.,Single Family Detached,Worcester,Pierpont Estates,2008,,,True,,True,True,
20 Budd Dr,281500,4,2.5,"2,128",$132 / Sq. Ft.,Single Family Detached,Worcester,Dudley,2000,,,,,,,
66 Old Southbridge Rd,203000,4,3,"3,436",$59 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1990,,,True,,,,
21 Corbin Rd,559000,4,3.5,"3,554",$157 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1994,,,True,,,True,
17 Ash Ln,369500,4,3.5,"2,424",$152 / Sq. Ft.,Single Family Detached,Worcester,Shepherd Hill Estates,2001,,,True,,True,,
10 Schofield Ave,202000,6,2,"2,464",$82 / Sq. Ft.,2 Units Up/Down,Worcester,Dudley,1910,,,True,,True,,
234 W Main St,175000,2,1,"1,100",$159 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1960,,,True,,,,
Lot 54 Dudley Southbridge Rd,190000,—,—,—,Sq. Ft.,Residential,Worcester,Dudley,,,,,,,,
154 W Main St,315000,3,2,"2,267",$139 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1915,,,True,,True,True,
110 Southbridge Rd,349900,10,6,"4,600",$76 / Sq. Ft.,5-9 Family,Worcester,Dudley,1960,,,,,True,,
11 Elizabeth St,243500,3,2,"1,215",$200 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1975,,,,,,,
16 WEST St,129900,3,1,"1,314",$99 / Sq. Ft.,Single Family Detached,Worcester,Dudley,1920,,,,,True,,
18 &18A WEST St,199500,5,2,"1,731",$115 / Sq. Ft.,2 Family,Worcester,Dudley,1930,,,,,,,
